time,target,true_x,true_z,meas_x,meas_z
3.136,TARGET_1,-0.501544,-0.422272,-0.490882,-0.405106
3.136,TARGET_2,0.511301,0.411301,0.518018,0.411534
3.200,TARGET_1,-0.499535,-0.420686,-0.514438,-0.422224
3.200,TARGET_2,0.509490,0.409490,0.511406,0.408193
3.264,TARGET_1,-0.497526,-0.419099,-0.504022,-0.405348
3.264,TARGET_2,0.507680,0.407680,0.506334,0.395920
3.328,TARGET_1,-0.495516,-0.417513,-0.492613,-0.397788
3.328,TARGET_2,0.505870,0.405870,0.519472,0.404491
3.392,TARGET_1,-0.493507,-0.415927,-0.508896,-0.435419
3.392,TARGET_2,0.504060,0.404060,0.484242,0.416229
3.456,TARGET_1,-0.491498,-0.414340,-0.507634,-0.410581
3.456,TARGET_2,0.502250,0.402250,0.487530,0.400888
3.520,TARGET_1,-0.489489,-0.412754,-0.509321,-0.428092
3.520,TARGET_2,0.500439,0.400439,0.482715,0.401563
3.584,TARGET_1,-0.487479,-0.411168,-0.492904,-0.422115
3.584,TARGET_2,0.498629,0.398629,0.505274,0.392850
3.648,TARGET_1,-0.485470,-0.409582,-0.485278,-0.422639
3.648,TARGET_2,0.496819,0.396819,0.477227,0.412535
3.712,TARGET_1,-0.483461,-0.407995,-0.471350,-0.400321
3.712,TARGET_2,0.495009,0.395009,0.506653,0.408048
3.776,TARGET_1,-0.481451,-0.406409,-0.488386,-0.398426
3.776,TARGET_2,0.493199,0.393199,0.488530,0.378921
3.840,TARGET_1,-0.479442,-0.404823,-0.488400,-0.400646
3.840,TARGET_2,0.491388,0.391388,0.473162,0.376526
3.904,TARGET_1,-0.477433,-0.403236,-0.492365,-0.403506
3.904,TARGET_2,0.489578,0.389578,0.488434,0.382320
3.968,TARGET_1,-0.475423,-0.401650,-0.459939,-0.382144
3.968,TARGET_2,0.487768,0.387768,0.482128,0.385855
4.032,TARGET_1,-0.473414,-0.400064,-0.478514,-0.418208
4.032,TARGET_2,0.485958,0.385958,0.470592,0.403808
